Данные графика Uca
Наименование: ;Контроллер КСОД (A1).Modbus 1.OMIX P99 ML3.OMIX P99 MLA.Параметры.Uca
Ед. измерения: ;В
Время регистрации;Значение
02.11.19 16:14:57;235.400009155273
02.11.19 16:15:33;235.699996948242
02.11.19 16:16:08;236.100006103516
02.11.19 16:16:44;236.199996948242
02.11.19 16:17:19;237
02.11.19 16:17:55;236.300003051758
02.11.19 16:18:10;236.199996948242
02.11.19 16:18:45;237.199996948242
02.11.19 16:19:21;235.600006103516
02.11.19 16:19:56;236.300003051758
02.11.19 16:20:32;235.300003051758
02.11.19 16:21:07;235.600006103516
02.11.19 16:21:43;235.800003051758
02.11.19 16:22:19;236
02.11.19 16:22:54;235.800003051758
02.11.19 16:23:10;236.199996948242
02.11.19 16:23:46;237.100006103516
02.11.19 16:24:22;235.300003051758
02.11.19 16:24:58;236
02.11.19 16:25:34;235.5
02.11.19 16:26:09;Ошибка 43
02.11.19 16:26:45;236.400009155273
02.11.19 16:27:20;236.699996948242
02.11.19 16:27:56;236.400009155273
02.11.19 16:28:11;236.100006103516
02.11.19 16:28:47;236.400009155273

Данные графика Ubc
Наименование: ;Контроллер КСОД (A1).Modbus 1.OMIX P99 ML3.OMIX P99 MLA.Параметры.Ubc
Ед. измерения: ;В
Время регистрации;Значение
02.11.19 16:14:57;0
02.11.19 16:15:33;0
02.11.19 16:16:08;0
02.11.19 16:16:44;0
02.11.19 16:17:19;0
02.11.19 16:17:55;0
02.11.19 16:18:10;0
02.11.19 16:18:45;0
02.11.19 16:19:21;0
02.11.19 16:19:56;0
02.11.19 16:20:32;0
02.11.19 16:21:07;0
02.11.19 16:21:43;0
02.11.19 16:22:19;0
02.11.19 16:22:54;0
02.11.19 16:23:10;0
02.11.19 16:23:46;0
02.11.19 16:24:22;0
02.11.19 16:24:58;0
02.11.19 16:25:34;0
02.11.19 16:26:09;Ошибка 43
02.11.19 16:26:45;0
02.11.19 16:27:20;0
02.11.19 16:27:56;0
02.11.19 16:28:11;0
02.11.19 16:28:47;0

Данные графика Uab
Наименование: ;Контроллер КСОД (A1).Modbus 1.OMIX P99 ML3.OMIX P99 MLA.Параметры.Uab
Ед. измерения: ;В
Время регистрации;Значение
02.11.19 16:14:57;235.400009155273
02.11.19 16:15:33;235.699996948242
02.11.19 16:16:08;236.100006103516
02.11.19 16:16:44;236.199996948242
02.11.19 16:17:19;237
02.11.19 16:17:55;236.300003051758
02.11.19 16:18:10;236.199996948242
02.11.19 16:18:45;237.199996948242
02.11.19 16:19:21;235.600006103516
02.11.19 16:19:56;236.300003051758
02.11.19 16:20:32;235.300003051758
02.11.19 16:21:07;235.600006103516
02.11.19 16:21:43;235.800003051758
02.11.19 16:22:19;236
02.11.19 16:22:54;235.800003051758
02.11.19 16:23:10;236.199996948242
02.11.19 16:23:46;237.100006103516
02.11.19 16:24:22;235.300003051758
02.11.19 16:24:58;236
02.11.19 16:25:34;235.5
02.11.19 16:26:09;Ошибка 43
02.11.19 16:26:45;236.400009155273
02.11.19 16:27:20;236.699996948242
02.11.19 16:27:56;236.400009155273
02.11.19 16:28:11;236.100006103516
02.11.19 16:28:47;236.400009155273

Данные графика COS
Наименование: ;Контроллер КСОД (A1).Modbus 1.OMIX P99 ML3.OMIX P99 MLA.Параметры.PFs
Ед. измерения: ;
Время регистрации;Значение
02.11.19 16:14:57;0.999000072479248
02.11.19 16:15:33;0.999000072479248
02.11.19 16:16:08;0.999000072479248
02.11.19 16:16:44;0.999000072479248
02.11.19 16:17:19;0.999000072479248
02.11.19 16:17:55;0.999000072479248
02.11.19 16:18:10;0.999000072479248
02.11.19 16:18:45;0.999000072479248
02.11.19 16:19:21;0.999000072479248
02.11.19 16:19:56;0.999000072479248
02.11.19 16:20:32;0.999000072479248
02.11.19 16:21:07;0.999000072479248
02.11.19 16:21:43;0.999000072479248
02.11.19 16:22:19;0.999000072479248
02.11.19 16:22:54;0.999000072479248
02.11.19 16:23:10;0.999000072479248
02.11.19 16:23:46;0.999000072479248
02.11.19 16:24:22;0.999000072479248
02.11.19 16:24:58;0.999000072479248
02.11.19 16:25:34;0.999000072479248
02.11.19 16:26:09;Ошибка 43
02.11.19 16:26:45;0.999000072479248
02.11.19 16:27:20;0.999000072479248
02.11.19 16:27:56;0.999000072479248
02.11.19 16:28:11;0.999000072479248
02.11.19 16:28:47;0.999000072479248

